earthquake_id,earthquake_name,earthquake_date,latitude,longitude,earthquake_magnitude,P1_ground_failure_probability,matched_P2_Mw,mean_P2_liquefaction_probability,max_P2_liquefaction_probability,number_of_sites,final_risk_score,risk_level
us70006qp1,"9 km NW of Mesetas, Colombia",2019-12-24,3.395,-74.255,5.7,0.6374659517444495,5.6,0.6652423319885409,0.7921032232761742,3,0.4240693363017723,MEDIUM
official20110311054624120_30,"Tohoku-Oki, Japan",2011-03-11,38.915,140.735,9.1,0.517828797009243,9.1,0.7344100412193022,0.9426211152017504,7,0.3802986681560998,MEDIUM
us70006vll,"M 6.4 - 13 km SSE of Maria Antonia, Puerto Rico",2020-01-07,18.295,-67.045,6.4,0.5089477900381414,6.4,0.7465386685191262,0.9295843431807508,30,0.3799492055208259,MEDIUM
us1000gda5,"1 km S of Belanting, Indonesia",2018-08-19,-8.505,116.075,6.9,0.5145440156254861,6.9,0.5959997483413225,0.9567399668442332,194,0.30666810382332327,MEDIUM
usp000d6vk,"Niigata-Chuetsu, Japan",2004-10-23,37.265,138.785,6.6,0.5339281303998976,6.6,0.5562076533972155,0.9591742483574254,105,0.29697491249248953,LOW
usp000e12e,"Kashmir, Pakistan",2005-10-08,34.265,73.295,7.6,0.5902395423115573,7.6,0.4832112719991019,0.9651524192155612,652,0.28521040002453535,LOW
usp0006rew,"Kobe, Japan",1995-01-16,34.645,135.105,6.9,0.4554766410863229,6.9,0.5959997483413225,0.9567399668442332,194,0.27146396346279933,LOW
us1000h3p4,"70km N of Palu, Indonesia",2018-09-28,-0.795,119.695,7.5,0.4856456331383256,7.5,0.4439436638797106,0.9689919962227644,189,0.21559930172261008,LOW
us2000d7q6,"32 km SW of Tari, Papua New Guinea",2018-02-25,-5.595,141.985,7.5,0.4740843866372951,7.5,0.4439436638797106,0.9689919962227644,189,0.2104667595919261,LOW
