earthquake_id,location_name,scenario_latitude,scenario_longitude,infrastructure_type,name,infra_latitude,infra_longitude
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.997217,140.748219
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9807946,140.7550414
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道342号,38.9992131,140.7513422
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道342号,39.0071387,140.7299514
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.984326,140.755894
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道342号,38.9852239,140.7642227
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.987376,140.752257
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,39.0025308,140.7505937
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,39.003278,140.757238
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,39.002457,140.738985
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9934449,140.6838208
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9933443,140.6841369
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9818864,140.6947702
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9854543,140.6975395
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,39.0033826,140.6676876
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9886452,140.6883332
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9893308,140.6880314
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9956456,140.6754042
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9860078,140.6933965
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9851454,140.7009548
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.984244,140.6912403
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9837754,140.6941951
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9849444,140.6999399
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9844094,140.7037107
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,39.0008308,140.6704866
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9874904,140.6888294
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9935646,140.6834161
