earthquake_id,location_name,earthquake_date,latitude,longitude,magnitude,P1_ground_failure_probability,mean_P2_liquefaction_probability,final_risk_score,risk_level,nearby_hospital,nearby_school,nearby_bridge,nearby_road,nearest_hospital_km,nearest_school_km,nearest_bridge_km,nearest_road_km,infrastructure_count,priority_level
official20110311054624120_30,"Tohoku-Oki, Japan",2011-03-11,38.915,140.735,9.1,0.517828797009243,0.7344100412193022,0.3802986681560998,MEDIUM,0,0,1,1,,,0.2814807650603995,0.3777797974576806,2,PRIORITIZE - INFRASTRUCTURE NEARBY
us1000gda5,"1 km S of Belanting, Indonesia",2018-08-19,-8.505,116.075,6.9,0.6415017208264006,0.5959997483413225,0.38233486417306006,MEDIUM,1,1,1,1,3.148558546971376,0.7544953648545186,0.9837977120927736,0.8918719774466989,4,PRIORITIZE - INFRASTRUCTURE NEARBY
us1000h3p4,"70km N of Palu, Indonesia",2018-09-28,-0.795,119.695,7.5,0.4856456331383257,0.4439436638797106,0.21559930172261013,LOW,1,1,1,1,12.050663112476668,4.729156023324589,2.41102254147642,3.2132574482170764,4,LOWER PRIORITY
us2000d7q6,"32 km SW of Tari, Papua New Guinea",2018-02-25,-5.595,141.985,7.5,0.47408438663729513,0.4439436638797106,0.21046675959192612,LOW,0,0,0,0,,,,,0,LOWER PRIORITY
us70006qp1,"9 km NW of Mesetas, Colombia",2019-12-24,3.395,-74.255,5.7,0.6374659517444495,0.6652423319885409,0.4240693363017723,MEDIUM,0,1,1,0,,7.185310631487576,8.634851746032032,,2,PRIORITIZE - INFRASTRUCTURE NEARBY
us70006vll,"M 6.4 - 13 km SSE of Maria Antonia, Puerto Rico",2020-01-07,18.295,-67.045,6.4,0.5089477900381414,0.7465386685191262,0.3799492055208259,MEDIUM,0,0,0,0,,,,,0,MONITOR / FURTHER ASSESSMENT
usp0006rew,"Kobe, Japan",1995-01-16,34.645,135.105,6.9,0.45547664108632296,0.5959997483413225,0.2714639634627994,LOW,1,1,1,1,0.7445779064076891,0.6852386024587038,0.122293013838837,0.1149867648532111,4,LOWER PRIORITY
usp000d6vk,"Niigata-Chuetsu, Japan",2004-10-23,37.265,138.785,6.6,0.5339281303998976,0.5562076533972155,0.29697491249248953,LOW,0,0,0,0,,,,,0,LOWER PRIORITY
usp000e12e,"Kashmir, Pakistan",2005-10-08,34.265,73.295,7.6,0.5902395423115573,0.4832112719991019,0.28521040002453535,LOW,1,1,1,1,5.437164249046155,6.388209551517102,6.09301128942086,1.3743320695527412,4,LOWER PRIORITY
