earthquake_id,location_name,nearby_hospital,nearby_school,nearby_bridge,nearby_road,nearest_hospital_km,nearest_school_km,nearest_bridge_km,nearest_road_km,infrastructure_count
official20110311054624120_30,"Tohoku-Oki, Japan",0,0,1,1,,,0.28148076506039954,0.3777797974576806,2
us1000gda5,"1 km S of Belanting, Indonesia",1,1,1,1,3.148558546971376,0.7544953648545186,0.9837977120927736,0.8918719774466989,4
us1000h3p4,"70km N of Palu, Indonesia",1,1,1,1,12.050663112476668,4.729156023324589,2.41102254147642,3.2132574482170764,4
us2000d7q6,"32 km SW of Tari, Papua New Guinea",0,0,0,0,,,,,0
us70006qp1,"9 km NW of Mesetas, Colombia",0,1,1,0,,7.185310631487576,8.634851746032032,,2
us70006vll,"M 6.4 - 13 km SSE of Maria Antonia, Puerto Rico",0,0,0,0,,,,,0
usp0006rew,"Kobe, Japan",1,1,1,1,0.7445779064076891,0.6852386024587038,0.122293013838837,0.1149867648532111,4
usp000d6vk,"Niigata-Chuetsu, Japan",0,0,0,0,,,,,0
usp000e12e,"Kashmir, Pakistan",1,1,1,1,5.437164249046155,6.388209551517102,6.0930112894208595,1.3743320695527412,4
