earthquake_id,location_name,risk_level,priority_level,explanation
official20110311054624120_30,"Tohoku-Oki, Japan",MEDIUM,PRIORITIZE - INFRASTRUCTURE AT RISK,"Ground-failure probability is 0.518, while the matched liquefaction probability is 0.734. The combined scenario risk indicator is 0.380, classified as MEDIUM. Nearest mapped hospital: No mapped feature; nearest school: No mapped feature; nearest bridge: 0.28 km; nearest major road: 0.38 km. Priority: PRIORITIZE - INFRASTRUCTURE AT RISK."
us1000gda5,"1 km S of Belanting, Indonesia",MEDIUM,PRIORITIZE - INFRASTRUCTURE AT RISK,"Ground-failure probability is 0.642, while the matched liquefaction probability is 0.596. The combined scenario risk indicator is 0.382, classified as MEDIUM. Nearest mapped hospital: 3.15 km; nearest school: 0.75 km; nearest bridge: 0.98 km; nearest major road: 0.89 km. Priority: PRIORITIZE - INFRASTRUCTURE AT RISK."
us1000h3p4,"70km N of Palu, Indonesia",LOW,LOWER PRIORITY,"Ground-failure probability is 0.486, while the matched liquefaction probability is 0.444. The combined scenario risk indicator is 0.216, classified as LOW. Nearest mapped hospital: 12.05 km; nearest school: 4.73 km; nearest bridge: 2.41 km; nearest major road: 3.21 km. Priority: LOWER PRIORITY."
us2000d7q6,"32 km SW of Tari, Papua New Guinea",LOW,LOWER PRIORITY,"Ground-failure probability is 0.474, while the matched liquefaction probability is 0.444. The combined scenario risk indicator is 0.210, classified as LOW. Nearest mapped hospital: No mapped feature; nearest school: No mapped feature; nearest bridge: No mapped feature; nearest major road: No mapped feature. Priority: LOWER PRIORITY."
us70006qp1,"9 km NW of Mesetas, Colombia",MEDIUM,PRIORITIZE - INFRASTRUCTURE AT RISK,"Ground-failure probability is 0.637, while the matched liquefaction probability is 0.665. The combined scenario risk indicator is 0.424, classified as MEDIUM. Nearest mapped hospital: No mapped feature; nearest school: 7.19 km; nearest bridge: 8.63 km; nearest major road: No mapped feature. Priority: PRIORITIZE - INFRASTRUCTURE AT RISK."
us70006vll,"M 6.4 - 13 km SSE of Maria Antonia, Puerto Rico",MEDIUM,MONITOR / FURTHER ASSESSMENT,"Ground-failure probability is 0.509, while the matched liquefaction probability is 0.747. The combined scenario risk indicator is 0.380, classified as MEDIUM. Nearest mapped hospital: No mapped feature; nearest school: No mapped feature; nearest bridge: No mapped feature; nearest major road: No mapped feature. Priority: MONITOR / FURTHER ASSESSMENT."
usp0006rew,"Kobe, Japan",LOW,LOWER PRIORITY,"Ground-failure probability is 0.455, while the matched liquefaction probability is 0.596. The combined scenario risk indicator is 0.271, classified as LOW. Nearest mapped hospital: 0.74 km; nearest school: 0.69 km; nearest bridge: 0.12 km; nearest major road: 0.11 km. Priority: LOWER PRIORITY."
usp000d6vk,"Niigata-Chuetsu, Japan",LOW,LOWER PRIORITY,"Ground-failure probability is 0.534, while the matched liquefaction probability is 0.556. The combined scenario risk indicator is 0.297, classified as LOW. Nearest mapped hospital: No mapped feature; nearest school: No mapped feature; nearest bridge: No mapped feature; nearest major road: No mapped feature. Priority: LOWER PRIORITY."
usp000e12e,"Kashmir, Pakistan",LOW,LOWER PRIORITY,"Ground-failure probability is 0.590, while the matched liquefaction probability is 0.483. The combined scenario risk indicator is 0.285, classified as LOW. Nearest mapped hospital: 5.44 km; nearest school: 6.39 km; nearest bridge: 6.09 km; nearest major road: 1.37 km. Priority: LOWER PRIORITY."
